Student ID,Assignments Completed,Attendance Rate,Previous GPA,Study Hours,Previous Passes,Pass/Fail
1,11,0.76,3.41,3,1,0
2,8,0.84,3.24,19,5,1
3,12,1.0,2.86,20,4,1
4,9,0.74,3.53,1,2,0
5,11,0.95,3.43,21,5,1
6,14,1.02,3.89,17,4,1
7,7,0.9,3.28,8,0,1
8,11,0.68,2.92,7,1,0
9,12,0.88,2.93,17,5,1
10,9,0.84,2.03,8,3,0
11,8,0.9,3.08,20,4,1
12,12,0.92,2.99,23,4,1
13,12,0.77,2.33,8,3,0
14,7,0.77,2.99,3,3,0
15,10,0.83,3.67,26,6,1
16,9,0.75,2.63,4,0,0
17,6,0.87,2.52,29,7,1
18,12,0.84,3.55,15,4,1
19,10,1.11,3.32,28,4,1
20,6,0.75,4.53,0,3,0
21,9,0.77,2.34,2,1,0
22,5,0.89,3.36,18,4,1
23,14,0.94,3.16,19,6,1
24,10,1.08,3.03,26,6,1
25,13,1.01,3.46,24,4,1
26,5,0.93,2.99,24,4,1
27,14,0.88,2.03,6,3,0
28,7,0.94,2.58,21,7,1
29,11,0.79,3.68,4,0,0
30,8,0.82,3.59,15,7,1
31,13,0.7,2.81,1,0,0
32,7,0.83,3.25,28,6,1
33,9,0.95,4.39,19,4,1
34,7,0.83,2.98,21,7,1
35,11,0.77,2.99,11,1,0
36,9,0.81,3.1,21,0,1
37,13,0.92,3.3,20,6,1
38,11,0.82,2.83,19,5,1
39,6,0.93,3.3,18,5,1
40,8,0.72,2.03,0,0,0
41,13,0.76,3.17,13,3,0
42,6,0.8,3.03,29,5,1
43,14,0.72,2.89,8,0,0
44,13,1.14,2.76,24,4,1
45,14,0.74,2.7,12,1,0
46,9,0.94,2.59,24,5,1
47,6,0.78,1.84,2,0,0
48,8,0.8,2.87,22,5,1
49,11,0.88,3.55,19,5,1
50,12,0.7,2.83,11,2,0
51,7,0.78,3.32,12,3,0
52,5,0.84,2.46,8,0,0
53,8,0.77,2.35,2,2,0
54,6,0.77,2.62,11,0,0
55,12,0.96,2.49,8,1,0
56,8,0.95,2.41,6,1,0
57,6,0.81,3.22,25,4,1
58,10,0.84,3.89,18,6,1
59,10,0.97,2.67,5,1,1
60,14,0.71,2.15,3,2,0
61,8,0.88,3.33,16,5,1
62,10,1.05,2.28,9,0,0
63,6,1.05,2.41,14,2,0
64,14,0.66,3.25,4,2,0
65,6,0.77,2.92,4,0,0
66,14,0.87,2.66,27,4,1
67,8,0.72,3.03,25,0,0
68,12,0.78,2.8,8,1,0
69,11,0.84,3.94,19,5,1
70,13,0.99,2.66,26,4,1
71,12,0.85,2.54,17,5,1
72,9,0.87,2.77,15,5,1
73,6,0.9,2.79,15,7,1
74,9,0.9,3.3,22,4,1
75,12,0.85,2.0,13,6,0
76,14,0.73,3.21,6,0,0
77,13,0.93,2.73,26,4,1
78,13,0.89,3.39,27,6,1
79,5,0.74,2.98,9,2,0
80,13,0.78,3.26,9,0,0
81,11,0.94,2.8,29,5,1
82,13,0.91,3.22,28,4,1
83,12,0.78,3.83,14,1,0
84,5,0.82,2.63,27,7,1
85,12,0.84,2.95,17,4,1
86,12,0.91,2.76,16,7,1
87,7,0.97,3.8,17,6,1
88,5,0.86,2.78,21,6,1
89,12,0.97,2.63,15,7,1
90,7,0.94,2.71,24,4,1
91,7,0.87,2.93,20,5,1
92,5,0.71,2.6,14,3,0
93,9,0.75,2.82,11,0,0
94,14,0.92,3.08,24,4,1
95,11,0.68,2.94,9,2,0
96,14,0.86,3.42,28,6,1
97,13,0.95,2.84,16,6,1
98,11,0.87,2.9,17,4,1
99,13,0.79,3.14,0,4,0
100,12,0.77,4.12,5,2,0
